Are you currently living on campus or commuting?,Are you currently working for pay?,"At this point in the semester, how certain are you that you will remain at RIC through the end of the academic year?","Compared to your expectations before the semester, would you say your workload is:",Do you feel a sense of belonging at RIC?,Do you feel organized and prepared for your academic workload?,Have you joined or participated in any of the following activities at RIC? (Check all that apply),"How confident are you in knowing where to go for academic support (e.g., tutoring, writing center, advising)?","How confident are you in knowing where to go for personal support (e.g., counseling, wellness services, basic needs)?",How do you feel you have been making friends and building connections so far?,How well do you feel you are balancing your academic responsibilities with your work and personal commitments?,How would you describe your sense of belonging at Rhode Island College so far?,"If yes, how many hours per week are you working?","In the past 6 weeks, have you felt any of the following ? (Check all that apply)",Is there anything that would help you feel more successful at RIC right now?,"On average, how many hours per week are you currently spending in co-curricular activities (clubs, organizations, athletics, etc.)?",What has been your biggest challenge during the first six weeks?,What has been your biggest success during the first six weeks?
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Neutral,false,Other,Not very confident,Neutral,"I have made a few friends, but not strong connections yet.",Not well,I feel somewhat disconnected.,1–5,"Lonely;
Overwhelmed by non-academic responsibilities",Guidance counselor or something similar ,0 hours,Getting work done ,Getting work done
Commute to RIC,"Yes, on campus",Very certain,Much lighter,Neutral,false,Other,Very confident,Very confident,I am struggling to make friends or connections.,Poorly,I feel very disconnected.,1–5,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,"Intro to academic writing plus, she barely shows up",Still life progression 
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Attended a Campus Event,Not very confident,Neutral,"I have made a few friends, but not strong connections yet.",Neutral,I feel a strong sense of belonging.,11–15,Overwhelmed by non-academic responsibilities,For the moment no. But I have a feeling in the future maybe so.,0 hours,My biggest challenge from my six weeks is procrastination and overthinking on quizzes and tests.,"My biggest success for the first six weeks is making sure that I am on class on time and making sure that I don't miss a day. Also, another thing is that I found a way I can study and making sure that I feel ready for anything my professors hand me."
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Very well,I feel a strong sense of belonging.,11–15,Overwhelmed by coursework,"More detailed instructions from my professors. 
",0 hours,Staying motivated to do my work. ,My biggest success has been that I am doing good in my classes and I quickly found my way around campus. 
Commute to RIC,"Yes, off campus",Very certain,About the same,Strongly agree,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Very well,I feel a strong sense of belonging.,11–15,Homesick,Nothing necessarily that would help me feel more successful. ,0 hours,Not too many challenges but my biggest one has been focusing in some of my lecture classes that the teacher talks for the whole 2 hours. ,"My Biggest success has been keeping up with all my school work, and not being overwhelmed because I don't procrastinate. 
"
Commute to RIC,"Yes, off campus",Very certain,About the same,Neutral,true,Other,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,11–15,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,"My biggest challenge has been time management, Im a kind of person who needs a schedule of what I need to do during a specific time but it's gotten way better throughout the semester. I have also been struggling with chemistry.",Im doing great in my FYS and medical terminology so far.
Commute to RIC,"Yes, off campus",Neutral/Unsure,About the same,Neutral,false,Other,Not very confident,Not very confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,11–15,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,"Going to class, maintaining attendance.",Getting my work actually done 
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Neutral,true,Other,Somewhat confident,Neutral,I have made many close friends and strong connections.,Neutral,I feel neutral.,11–15,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,"balancing my social life with work, friends, and church with my academic life with school and homework. ",passing my first exam 
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,false,Attended a Campus Event,Neutral,Neutral,I have not made any friends or connections.,Neutral,I feel neutral.,11–15,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Keeping up with all the homework.,Keeping up with having good grades.
Commute to RIC,"Yes, off campus",Certain,Slightly lighter,Neutral,true,Attended a Campus Event,Neutral,Not very confident,I have not made any friends or connections.,Neutral,I feel neutral.,11–15,Overwhelmed by non-academic responsibilities,Not much as of now. ,0 hours,Purchasing certain textbooks and getting to class on time.,Being able to show up to class and understand the material.
Commute to RIC,"Yes, off campus",Very uncertain,Slightly heavier,Disagree,false,Other,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Not well,I feel neutral.,11–15,Overwhelmed by coursework,Professors that understand how to use the technology.,0 hours,The professors.,Getting a 90 on a quiz.
Commute to RIC,"Yes, off campus",Neutral/Unsure,About the same,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have not made any friends or connections.,Not well,I feel neutral.,11–15,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",not sure ,0 hours,coming to school,getting almost all my work in on time 
Living on Campus,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Very confident,Very confident,I am struggling to make friends or connections.,Well,I feel neutral.,11–15,Overwhelmed by non-academic responsibilities,no,0 hours,Keeping up with math,Keeping all A's
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,false,Attended a Campus Event,Not very confident,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,11–15,Overwhelmed by coursework,Getting a math tutor. ,0 hours,"My biggest challenge has been math; I am falling a little behind, and I'm getting a tutor. ",My biggest success has been my ability to surround myself with good people and have a clear mindset. 
Commute to RIC,"Yes, off campus",Very certain,About the same,Neutral,true,Other,Somewhat confident,Somewhat confident,I have not made any friends or connections.,Well,I feel neutral.,11–15,Overwhelmed by coursework,No ,0 hours,I haven't really had a big challenge yet. ,I have been getting good grades in my classes. 
Commute to RIC,"Yes, off campus",Certain,Slightly lighter,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have not made any friends or connections.,Well,I feel neutral.,11–15,Overwhelmed by coursework,No im doing well,0 hours,I have had less sleep and have felt tired most days. ,I have done well on all my quizzes and homework. 
Living on Campus,"Yes, off campus",Certain,Slightly lighter,Agree,true,Other,Neutral,Neutral,I have made many close friends and strong connections.,Neutral,I feel somewhat connected.,11–15,"Homesick;
Overwhelmed by coursework",,0 hours,My biggest challenge during the first six weeks is balancing all the different aspects of life at once.,My biggest success during the first is weeks is staying on top of my work and making it to class every day.
Commute to RIC,"Yes, off campus",Certain,About the same,Neutral,true,Attended a Campus Event,Very confident,Neutral,I have not made any friends or connections.,Neutral,I feel somewhat connected.,11–15,Overwhelmed by non-academic responsibilities,No,0 hours,Learning new things every class and maybe sometimes trying to keep up with the class lectures,Keeping my grades up and not missing no assignments.
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I am struggling to make friends or connections.,Very well,I feel somewhat connected.,11–15,Lonely,No,0 hours,I haven't really faced any challenges. ,Time management / Making time to study
Commute to RIC,"Yes, off campus",Certain,About the same,Neutral,true,"Campus publications;
Attended a Campus Event",Somewhat confident,Very confident,I have made some friends and connections.,Very well,I feel somewhat connected.,11–15,Overwhelmed by non-academic responsibilities,Nothing i can think of ,0 hours,Definitely doing math test without a caculator,My biggest succes has been able to pass most of my test and quizes 
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Very well,I feel somewhat connected.,11–15,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Maybe becoming more involved extracurricularly ,0 hours,Balancing all the work and due dates for classes,I am picking up better study habits and finding help if I cannot understand material
Commute to RIC,No,Certain,About the same,Neutral,true,Other,Very confident,Very confident,I have made some friends and connections.,Very well,I feel somewhat connected.,11–15,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,balancing school life with life outside of school ,getting my work on time 
Commute to RIC,"Yes, off campus",Certain,About the same,Agree,true,Attended a Campus Event,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,11–15,Lonely,More free food,0 hours,My biggest challenge has been time management. I have had to sacrifice parts of my routine in order to get enough sleep.,My biggest success has been feeling comfortable with my assignments.
Living on Campus,"Yes, off campus",Certain,Slightly heavier,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,11–15,Lonely,no,0 hours,sometimes getting all the work done ,going to my classes 
Living on Campus,"Yes, off campus",Very certain,About the same,Neutral,true,Other,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,11–15,Lonely,Not really,0 hours,My biggest challenge has been attending events.,My biggest success has been handling my workload pretty well.
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,true,Attended a Campus Event,Very confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,11–15,Overwhelmed by coursework,,0 hours,My biggest challenge has been adjusting to the workload and the different class times. ,"I have been adjusting to RIC well and have stayed organized, getting my work done on time."
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Other,Neutral,Somewhat confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,11–15,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Not as many tests and quizzes,0 hours,cummuting.,Getting all my work done on time.
Commute to RIC,"Yes, off campus",Very certain,About the same,Strongly agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,11–15,Overwhelmed by coursework,No I feel comfortable,0 hours,My biggest challenge during the first six weeks is tests,My biggest success so far is getting all my work done on time
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Neutral,Not very confident,I have made some friends and connections.,Well,I feel somewhat connected.,11–15,Overwhelmed by coursework,Time Management,0 hours,Procrastination,Staying on top with my work.
Commute to RIC,"Yes, off campus",Very certain,Much heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,11–15,Overwhelmed by coursework,n/a,0 hours,My biggest challenge has been creating a consistent study schedule. ,My biggest success has been staying organized.
Living on Campus,"Yes, off campus",Neutral/Unsure,Slightly heavier,Disagree,true,Other,Not very confident,Not very confident,I am struggling to make friends or connections.,Neutral,I feel somewhat disconnected.,11–15,Overwhelmed by coursework,tutoring ,0 hours,trying to actually study ,nothing
Commute to RIC,"Yes, off campus",Certain,Too soon to tell,Neutral,true,Other,Somewhat confident,Not very confident,"I have made a few friends, but not strong connections yet.",Not well,I feel somewhat disconnected.,11–15,"Lonely;
Overwhelmed by coursework",Not sure :/,0 hours,So much economics reading and First Year writing ,Being able to somewhat balance workload while going to the gym.
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,false,Other,Not very confident,Not very confident,I have made some friends and connections.,Neutral,I feel a strong sense of belonging.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Meeting due dates for assignments.,Getting as much work done as possible regardless if it is a little past due.
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Strongly agree,false,Attended a Campus Event,Neutral,Somewhat confident,I have made some friends and connections.,Neutral,I feel a strong sense of belonging.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Better study skills,0 hours,Trying to find good study styles that work for me ,Doing all assignments on time and getting good grades
Commute to RIC,"Yes, off campus",Very certain,About the same,Strongly agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Neutral,I feel a strong sense of belonging.,16–20,Overwhelmed by coursework,,0 hours,getting to school on tie since im commuting ,passing my psych exam
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Strongly agree,true,Attended a Campus Event,Somewhat confident,Very confident,I have made some friends and connections.,Very well,I feel a strong sense of belonging.,16–20,Overwhelmed by non-academic responsibilities,"I'm doing well, thank you.",0 hours,Time management,Doing well in a few classes
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Strongly agree,true,Other,Very confident,Very confident,I have not made any friends or connections.,Very well,I feel a strong sense of belonging.,16–20,Overwhelmed by coursework,no. ,0 hours,Trying to stay focused during lectures.,Being able to stay organized and handing in my work on time.
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Attended a Campus Event,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel a strong sense of belonging.,16–20,Overwhelmed by coursework,no,0 hours,Sometimes I lose track of due dates of some assignments. ,Completing all my art assignments on time and feeling like I did my best work.
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Somewhat confident,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel a strong sense of belonging.,16–20,Overwhelmed by coursework,"Nope! I feel as long as I keep my head straight and work hard, I will Succeed at RIC.",0 hours,I have struggled with procrastination since high school and I am trying my hardest to get things done on time,Going out of my comfort zone to write essays in forms I have never written before.
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Well,I feel a strong sense of belonging.,16–20,Overwhelmed by non-academic responsibilities,,0 hours,My biggest challenge in the first 6 weeks was balancing work and studying.,"My biggest accomplishment during my first six weeks of Rhode Island College,  was passing my math exam with a 95%."
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Strongly agree,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,16–20,Overwhelmed by non-academic responsibilities,No,0 hours,Some exams for certain classes.,Learning the layout of the campus.
Living on Campus,"Yes, both on and off campus",Very certain,Much lighter,Agree,true,"Attended a Campus Event;
Other",Very confident,Very confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,16–20,Overwhelmed by non-academic responsibilities,:),0 hours,Not having enough time to fully access and engage with all student events and clubs (clubs that intersect directly with classes),Time management
Commute to RIC,"Yes, off campus",Certain,About the same,Neutral,true,Other,Neutral,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,16–20,Overwhelmed by non-academic responsibilities,,0 hours,Getting my work done for my online classes.,I am getting all of my work done on time.
Commute to RIC,"Yes, off campus",Certain,Slightly lighter,Neutral,true,Attended a Campus Event,Neutral,Neutral,I have made many close friends and strong connections.,Neutral,I feel neutral.,16–20,Overwhelmed by coursework,N/A,0 hours,My biggest challenge has to be finding parking anytime after 10 am.,My Biggest Success is keeping all my grades above an A
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Neutral,true,Other,Neutral,Neutral,I have made some friends and connections.,Neutral,I feel neutral.,16–20,Lonely,nope!!,0 hours,"Managing work and school, usually I put school in front of work. ",Sleeping a lot helps getting my assignments in line. 
Living on Campus,"Yes, off campus",Certain,Slightly lighter,Neutral,true,Other,Neutral,Neutral,I have made some friends and connections.,Neutral,I feel neutral.,16–20,Homesick,No,0 hours,Remembering what work I have,Being on time to my classes 
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,false,Other,Neutral,Neutral,I have not made any friends or connections.,Neutral,I feel neutral.,16–20,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities","Not really, I think it's just more on me and staying on top of my stuff",0 hours,Keeping up with school work/ getting to my classes. Most of the time it's because I am sick but then other times is because my son has been dealing with other needs ,Paying attention to the lectures and understanding the material. 
Commute to RIC,"Yes, off campus",Certain,About the same,Neutral,true,Other,Neutral,Neutral,I have not made any friends or connections.,Neutral,I feel neutral.,16–20,"Homesick;
Lonely;
Overwhelmed by coursework",no,0 hours,Getting my teacher to actually communicate with me.,being more organized 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Neutral,true,Attended a Campus Event,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Not well,I feel neutral.,16–20,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",no not really. ,0 hours,"Biggest challenge has been balancing school,work, and my social life all in one. ",Biggest success has being on top of my work
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Neutral,false,Other,Very confident,Neutral,"I have made a few friends, but not strong connections yet.",Not well,I feel neutral.,16–20,Overwhelmed by coursework,No,0 hours,My biggest challenge would be catching up in class work after being sick for two weeks.,My biggest success so far is showing up on time. 
Commute to RIC,"Yes, off campus",Very certain,Much heavier,Neutral,false,Other,Not very confident,Not very confident,"I have made a few friends, but not strong connections yet.",Not well,I feel neutral.,16–20,Overwhelmed by coursework,,0 hours,keeping up with work ,using tools given to me to help with struggles
Commute to RIC,"Yes, off campus",Certain,About the same,Neutral,true,Attended a Campus Event,Very confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Not well,I feel neutral.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,My biggest challenge has been adjusting to homework and class workloads while also working full time. ,"My biggest success has been submitting my work on time, and getting good grades"
Commute to RIC,"Yes, off campus",Neutral/Unsure,Much heavier,Neutral,false,Other,Neutral,Neutral,I have not made any friends or connections.,Not well,I feel neutral.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Trying to stay caught up with all of my work.,Getting to class on time.
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,false,Other,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",I think for me it would just be managing my time better and checking course calendars more frequently.,0 hours,Time management.,Making sure all my assignments are submitted and have good work.
Commute to RIC,"Yes, off campus",Certain,About the same,Neutral,true,Attended a Campus Event,Somewhat confident,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,16–20,Overwhelmed by non-academic responsibilities,There is nothing that I think ric needs to change. I like how they have activities in the quad almost every day to get involved and get the students minds off stressful things.,0 hours,My Medical Term class because it's heavy memorizing class.,Grades and not letting load on where my classes are.
Commute to RIC,"Yes, off campus",Certain,About the same,Neutral,true,Other,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,16–20,Overwhelmed by coursework,n/a,0 hours,"Studying for exams, limiting procrastination ",Having good attendance in each class completing needed work 
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",nope ,0 hours,A test in microeconomics. ,Turning in my assignments on time. 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,16–20,Overwhelmed by non-academic responsibilities,No.,0 hours,Balancing my work and schoolwork.,Getting all of my work done on time.
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Agree,true,Other,Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,16–20,Overwhelmed by non-academic responsibilities,,0 hours,going to my American Government class,being on time to class
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Other,Not very confident,Neutral,I have not made any friends or connections.,Well,I feel neutral.,16–20,Overwhelmed by coursework,,0 hours,Taking a 4-7pm class.,Completing all my assignments on time.
Commute to RIC,"Yes, off campus",Very certain,Much lighter,Agree,true,Other,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,"Time management has been my biggest challenge so far. I've had to study a lot more than before which takes up a lot of time. And still, I try to also balance my work, academic, social, and personal life.",My biggest success was doing well on all my quizzes while still figuring out college itself.
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Neutral,Neutral,I have made some friends and connections.,Neutral,I feel somewhat connected.,16–20,Overwhelmed by non-academic responsibilities,not sure.,0 hours,Structuring myself to balance work especially in far due assignments.,Figuring out a good healthy schedule.
Commute to RIC,"Yes, both on and off campus",Neutral/Unsure,Slightly lighter,Strongly agree,true,Other,Neutral,Somewhat confident,I have made some friends and connections.,Neutral,I feel somewhat connected.,16–20,Overwhelmed by coursework,,0 hours,making time to hang out with friends, not getting lost
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Agree,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Neutral,I feel somewhat connected.,16–20,Overwhelmed by coursework,"I think that I need to be more focused on my workload, I am very good at procrastinating, and I have been trying my best to work on this problem.",0 hours,Getting used to Microsoft instead of google.,"I have made a lot of new friends, meeting new people I would say is probably the biggest success I have had."
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Very well,I feel somewhat connected.,16–20,Overwhelmed by non-academic responsibilities,no,0 hours,figuring out what to study,my grades 
Commute to RIC,"Yes, both on and off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Somewhat confident,Neutral,I have made some friends and connections.,Very well,I feel somewhat connected.,16–20,Overwhelmed by coursework,No.,0 hours,Self-discipline in getting homework done.,Adjusting to college compared to high school
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Very well,I feel somewhat connected.,16–20,Overwhelmed by coursework,Not that I can think of everything seems to be going great.,0 hours,Getting into the grove of the way everything flows ,Being organized 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Other,Neutral,Not very confident,I am struggling to make friends or connections.,Well,I feel somewhat connected.,16–20,"Lonely;
Overwhelmed by non-academic responsibilities",,0 hours,Trying to manage different tasks in a timely manner.,Being able to maintain good starting grades throughout my classes and developing a routine.
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Not very confident,Not very confident,I am struggling to make friends or connections.,Well,I feel somewhat connected.,16–20,Overwhelmed by non-academic responsibilities,,0 hours,Keeping up with digital work and due dates.,A good grade on my first math test
Commute to RIC,"Yes, off campus",Certain,Slightly lighter,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I am struggling to make friends or connections.,Well,I feel somewhat connected.,16–20,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Procrastinating everything at the same time and not almost finishing it. ,Turning in my assignments on time and looking over things I don't understand. 
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Other,Somewhat confident,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,16–20,Overwhelmed by coursework,,0 hours,Balancing school with personal responsibilities but it hasn't been too bad.,I have made some new connections and I feel for the most part I have been on top of my work.
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,16–20,"Lonely;
Overwhelmed by coursework",,0 hours,Studying,I did really good my first exams
Commute to RIC,"Yes, off campus",Certain,About the same,Agree,true,Other,Very confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,16–20,Overwhelmed by non-academic responsibilities,No,0 hours,I'm not sure,Nothing much really still trying to figure It all out.
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Very confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,16–20,Overwhelmed by coursework,"No, everything is good.",0 hours,Managing my time effectively and procrastinating has been hard to manage but I've been able to get everything in on time.,Managing to turn in all my work on time despite having a lot of workload has been a success!
Living on Campus,"Yes, on campus",Very certain,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,16–20,Homesick,,0 hours,My biggest challenge balancing studying and working ,My biggest success has been keeping up with all my work 
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Agree,true,Other,Neutral,Neutral,I have made some friends and connections.,Well,I feel somewhat connected.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",no,0 hours,adjusting to the new schedules,"making new friends, not sure of anything else"
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Neutral,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,16–20,Overwhelmed by coursework,figuring out my major,0 hours,driving back and forth and parking,Set schedule
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Neutral,true,Attended a Campus Event,Neutral,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,16–20,Overwhelmed by non-academic responsibilities,No,0 hours,Staying motivated ,Staying on top of my work
Commute to RIC,"Yes, off campus",Very certain,About the same,Agree,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,16–20,Overwhelmed by non-academic responsibilities,For question 13 to have an option that says none of the above.,0 hours,"My biggest challenge has just been the traffic that happens on the ride over. This is because sometimes it gets really bad. Other than that, it has been good.",My biggest success has been understanding how the Microsoft apps work since I never used them before.
Commute to RIC,"Yes, off campus",Certain,About the same,Agree,true,Other,Very confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,16–20,Overwhelmed by coursework,no ,0 hours,Spacing out time at home to complete course work. ,getting my work in on time and showing up to class.
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Other,Very confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,16–20,Overwhelmed by coursework,,0 hours,"Some of my history assignments, I feel like I misread some questions..",Studying passionately every day and turning my work in on time by having a daily planner. 
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,true,Attended a Campus Event,Very confident,Somewhat confident,I have not made any friends or connections.,Well,I feel somewhat connected.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,getting a bad grade on my first chem exam,Getting better taking my quizzes 
Commute to RIC,"Yes, off campus",Certain,Much heavier,Neutral,false,Other,Neutral,Not very confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat disconnected.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",no,0 hours,Time management,Showing up to classes everyday
Commute to RIC,"Yes, off campus",Very uncertain,Slightly heavier,Neutral,true,Attended a Campus Event,Very confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat disconnected.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Managing all of the assignments in one week.,Meeting with my advisor has been very helpful. 
Commute to RIC,"Yes, off campus",Very certain,About the same,Strongly disagree,true,Other,Very confident,Somewhat confident,I have not made any friends or connections.,Well,I feel somewhat disconnected.,16–20,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",no,0 hours,All of it,All of it
Commute to RIC,"Yes, off campus",Neutral/Unsure,About the same,Strongly disagree,false,Other,Not at all confident,Not at all confident,I am struggling to make friends or connections.,Poorly,I feel very disconnected.,16–20,"Homesick;
Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",I need more chances to get my grades as high as possible and more space for doing assignments. It feels like I have to go straight to work after class and I have no time to sit down and learn my material,0 hours,Balancing my work schedule and classes,Not dropping out yet
Commute to RIC,"Yes, off campus",Neutral/Unsure,Slightly heavier,Agree,true,Other,Neutral,Neutral,I have made some friends and connections.,Neutral,I feel a strong sense of belonging.,21+,Overwhelmed by coursework,Tutoring for CHEM 103.,0 hours,Figuring out CHEM 103.,Balancing my classes with ease for the most part.
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Not well,I feel a strong sense of belonging.,21+,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Procrastination and doing work before it's due.,Getting work in on time.
